accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,AT2G16280,AT1G20330,AT3G05630,AT3G11170,AT3G11210,AT3G19260,AT3G56040,AT3G56080,AT4G11830,AT4G17600,AT4G23700,AT4G23710,AT5G16230,AT5G16240,AT5G22500,AT5G59590,acMGDG(18:3-2O/36:8-2O),acMGDG(18:3-3O/36:8-2O),Campesterol-Glc(16:0),Campesterol-Glc(18:3),Campesterol-Glc(18:2),GlcCer(34:1)-2,GlcCer(34:1)-3,GlcCer(40:1)-3,GlcCer(42:2)-3,Campesterol-Glc,DGDG(18:3/7:1-2O),DGDG(18:3/16:2),DGDG(18:3/16:1),DGDG(18:2/18:3),DGDG(18:1/18:3),MGDG(18:3/16:2),PC(16:0/16:1),PC(16:0/16:0),PE(20:1/18:3),PG(18:2/16:0),SQDG(32:0),SQDG(34:3),SQDG(36:6)
5984,DraIV 6-13,CS76822,16.2815,49.4112,Czech Republic,3299,2594,99,10951,430,385,4288,1515,567,4173,54,1016,19,494,1464,11,0.001029459,0.000367277,0.014957614,0.010688936,0.009528869,0.290909345,0.386411912,0.223539333,0.605625031,0.14492941,0.007710867,0.148522052,0.635079649,0.314644646,0.326080702,0.365473552,0.078458268,0.085206867,0.011208236,0.699167577,0.009179751,0.451907079,0.15993054
5993,DraIV 6-22,CS76823,16.2815,49.4112,Czech Republic,3381,2836,250,9806,382,642,3188,1345,644,2551,308,954,19,355,431,50,0.000405808,0.000263295,0.00623764,0.006737379,0.004672937,0.249052463,0.339521878,0.207769174,0.597830948,0.096078704,0.006569284,0.194759671,0.865077013,0.304549232,0.39158092,0.43793855,0.145835004,0.123351246,0.011882042,0.583157003,0.009455266,0.47821619,0.145236802
6008,Duk,CS76824,16.2,49.1,Czech Republic,2651,5393,123,8531,431,289,4267,2330,1880,2850,330,915,20,424,1311,38,0.000532421,0.000327758,0.010333058,0.008398157,0.007281472,0.303321188,0.392865773,0.155611778,0.737243909,0.154936649,0.010515732,0.173301562,0.500911025,0.242419416,0.310383361,0.372539566,0.075738249,0.067486458,0.011585434,0.549976789,0.009532455,0.385293184,0.125971232
6020,Fjä1-5,CS76861,14.29,56.06,Sweden,3509,6956,111,10472,547,389,3133,1018,1268,3106,12,1405,28,525,389,6,0.00382107,0.00070125,0.006131172,0.006048988,0.004209843,0.279512435,0.352158518,0.206409536,0.589066343,0.085265454,0.009912,0.175665948,0.862504848,0.26955577,0.310533409,0.33948759,0.16951703,0.162956871,0.008732029,0.659066765,0.006704172,0.432564905,0.141499316
6024,Fly2-2,CS76864,13.3712,55.7509,Sweden,3955,4680,157,10003,243,508,2170,484,712,2014,34,1103,16,339,272,1,0.000869508,0.000355596,0.005386623,0.007596959,0.00396412,0.295579786,0.330173946,0.16132174,0.622927768,0.074567382,0.006770258,0.176062692,0.659997892,0.260635531,0.280814595,0.403281305,0.13593793,0.105418197,0.012528178,0.622663004,0.010297836,0.42220819,0.143527209
6038,Hov3-5,CS76935,13.74,56.1,Sweden,3452,4789,264,12220,253,751,2544,277,768,2449,295,1070,44,282,394,1,0.000861028,0.000354722,0.008224858,0.008397789,0.005770636,0.352089557,0.416973544,0.183365631,0.711783648,0.09882434,0.008911183,0.192399209,0.766958136,0.341756741,0.288168357,0.454903022,0.179749635,0.155324651,0.00988805,0.61882596,0.012651911,0.443917694,0.149049667
6041,Lis-3,CS77044,14.775,56.0328,Sweden,3321,4515,281,11474,267,587,1769,592,979,3117,42,1044,16,248,200,6,0.000453728,0.000319788,0.00647671,0.008052,0.004558324,0.293694263,0.372052747,0.173250985,0.584152413,0.088878293,0.010529378,0.177535444,0.790066627,0.338796059,0.287745364,0.450018154,0.127221023,0.123640999,0.009679905,0.639690341,0.0094593,0.380167655,0.118949454
6107,T470,CS77299,13.1222,55.7942,Sweden,6576,6311,347,11236,123,539,2057,508,685,3798,51,1194,4,253,612,2,0.000606384,0.00020249,0.00810625,0.007674691,0.005294442,0.312926901,0.418815358,0.213655332,0.643328375,0.09610456,0.012427167,0.233196537,0.515049402,0.348931658,0.310510039,0.575614696,0.097772468,0.084584792,0.010695039,0.644070333,0.008016907,0.395031266,0.116455698
6108,T480,CS77300,13.1206,55.7989,Sweden,3472,7352,82,14378,405,200,3907,440,16,3718,17,1154,23,343,795,0,0.000650587,0.000333648,0.00826173,0.00732788,0.005550979,0.296324005,0.41068674,0.256943483,0.594439146,0.075486165,0.010163245,0.189394317,0.498580303,0.293548392,0.328285582,0.398834131,0.089211443,0.084491412,0.009037165,0.738269251,0.01238992,0.407832855,0.118357742
6137,T850,CS77320,13.5603,55.9419,Sweden,4570,5568,180,15005,340,327,2459,1024,915,3755,47,1036,12,436,622,9,0.000636701,0.000263655,0.006233808,0.008316311,0.005160559,0.19541693,0.290387116,0.227514157,0.564665054,0.092756493,0.01386187,0.158404678,0.536609191,0.329166494,0.291157854,0.449235916,0.088303859,0.077646706,0.009662114,0.664416696,0.009589538,0.427879893,0.13396447
6140,T880,CS77322,13.5539,55.9392,Sweden,4192,3132,299,9704,299,448,1898,753,707,2077,11,1326,6,479,349,3,0.0007831,0.000235274,0.004776397,0.009403761,0.005165885,0.281697063,0.325359329,0.143401889,0.552298542,0.078727772,0.011927904,0.135270458,0.667844633,0.238452047,0.306787003,0.314194962,0.084215622,0.084470507,0.010717814,0.670161398,0.006012292,0.484980738,0.187110387
6163,TAA 14,CS77331,17.7356,62.6425,Sweden,3007,2728,148,13859,220,539,2284,158,1876,2855,490,1136,18,396,340,1,0.001043345,0.000355073,0.011463688,0.012057823,0.009488256,0.270873488,0.322045111,0.229856431,0.439536615,0.126877075,0.010400632,0.151234103,0.689184461,0.282857939,0.337585132,0.340227906,0.099602875,0.10425217,0.007842237,0.8760875,0.008959346,0.399656746,0.134365559
6169,TÅD 01,CS77333,18.3447,62.8714,Sweden,5076,6227,84,19706,203,421,2640,240,919,5650,21,1131,31,235,242,7,0.001037363,0.00017214,0.004763443,0.004332471,0.004415189,0.273668707,0.375652763,0.213549367,0.560097332,0.068421362,0.008351881,0.196005514,0.837142628,0.280165807,0.521231026,0.331004796,0.084019834,0.100872591,0.011383778,0.864217546,0.005954989,0.363099156,0.131818652
6174,TÅD 06,CS77337,18.3422,62.8719,Sweden,5966,8329,116,15092,205,354,2382,229,1133,4774,41,913,12,259,150,3,0.000637817,0.000259461,0.005601556,0.005410132,0.005153312,0.27046619,0.433506473,0.219529542,0.624974384,0.095760966,0.014453647,0.184764909,0.637178002,0.374317383,0.497228153,0.433584985,0.085547069,0.090009623,0.01032526,0.747566938,0.008120537,0.454971504,0.147382958
6194,TDr-8,CS77355,14.1342,55.7706,Sweden,2237,2741,237,13132,370,644,2421,1245,556,2654,185,1340,34,455,1154,8,0.000617271,0.000249153,0.006473851,0.006090943,0.005208277,0.260848371,0.342914436,0.163685361,0.60985251,0.084932336,0.007347476,0.168277473,0.942273088,0.335667776,0.358526131,0.46370571,0.140740085,0.142347461,0.011617047,0.614038383,0.008419116,0.438569473,0.149361158
6195,TDr-9,CS77356,14.1342,55.7708,Sweden,2311,2524,278,6895,497,498,2281,1100,588,1746,32,1401,19,270,1339,22,0.000639958,0.000269285,0.006801812,0.006969114,0.005380605,0.291069246,0.353073307,0.212684477,0.500151557,0.074762988,0.007070873,0.196380869,0.594494839,0.452507813,0.29077838,0.607746756,0.087869657,0.093036226,0.010010143,0.893285077,0.010018016,0.446615698,0.127925795
